id,county,facility_name,facility_address,facility_city,facility_state,facility_zip,is_private,in_urban_area,holds_greater_than_72_hours,holds_less_than_1_yr,felonies_greater_than_1_yr,hold_less_than_72_hours,facility_gender,num_inmates_rated_for
6400,"Autauga County, Elmore County",Autauga Metro Jail,136 North Court Street,Prattville,AL,36067,0,0,1,0,1,0,3,197
6401,Baldwin County,Baldwin County Correctional Center,200 Hand Avenue,Bay Minette,AL,36507,0,1,1,1,1,0,3,651
6402,Barbour County,Barbour County Jail,24 Robinson Airport Road,Clayton,AL,36016,0,0,1,1,0,1,3,96
6403,Bibb County,Bibb County Jail,94 Bibb Lane,Brent,AL,35034,0,0,1,0,1,0,3,47
6404,Blount County,Blount County Correctional Facility,225 Industrial Park Road,Oneonta,AL,35121,0,0,1,1,1,1,3,101
6405,Bullock County,Bullock County Jail,114 Hardaway Avenue West,Union Springs,AL,36089,0,0,1,1,1,1,3,16
6406,Butler County,Butler County Correctional Facility,800 Walnut Street,Greenville,AL,36037,0,0,1,1,1,1,3,96
6408,Chambers County,Sheriff James C. Morgan Detention Facility,"105 Alabama Avenue, West",Lafayette,AL,36862,0,0,1,1,0,0,3,136
6409,Cherokee County,Cherokee County Detention Center,110 Cedar Bluff Road,Centre,AL,35960,0,0,1,1,0,0,3,140
6410,Chilton County,Chilton County Jail,301 City Street,Clanton,AL,35045,0,0,1,1,1,1,3,212
6412,Clarke County,Clarke County Jail,149 Clark Street,Grove Hill,AL,36451,0,0,1,1,1,0,3,141
6413,Clay County,Clay County Jail,41771 Highway 77 North,Ashland,AL,36251,0,0,1,1,1,1,3,150
6414,Cleburne County,Cleburne County Jail,140 Lambert Drive,Heflin,AL,36264,0,0,1,1,0,0,3,90
6415,Coffee County,Coffee County Jail,County Complex #4,New Brockton,AL,36351,0,0,1,1,1,0,3,156
6416,Colbert County,Colbert County Jail,107 West 4th Street,Tuscumbia,AL,35674,0,0,1,1,0,0,1,64
6417,Conecuh County,Conecuh County Jail,104 Liberty Street,Evergreen,AL,36401,0,0,1,1,0,1,3,134
